,0,1,2,3
0,gabizinha,@gabturquetti,2009-06-30T14:54:50.000Z,i found some pics of tdf I LOVED <33
1,gabizinha,@gabturquetti,2009-06-30T14:46:10.000Z,backkk
2,gabizinha,@gabturquetti,2009-06-30T14:34:36.000Z,"ok, já tomei  meu café da manha agora irei fazer um favorzinho pra mamae"
3,gabizinha,@gabturquetti,2009-06-30T14:22:00.000Z,adoro cookies de café da manha nhac nhac
4,gabizinha,@gabturquetti,2009-06-30T14:19:53.000Z,nham nham cookies :D
5,gabizinha,@gabturquetti,2009-06-30T14:19:00.000Z,"good morning, i woke up at 11 and i was reading breaking dawn :D"
6,gabizinha,@gabturquetti,2009-06-30T04:28:23.000Z,good night followers :D
7,gabizinha,@gabturquetti,2009-06-30T04:28:10.000Z,vou ler o amanhecer e mimir beigos e queigos <33
8,gabizinha,@gabturquetti,2009-06-30T04:20:44.000Z,i still love son of dork
9,gabizinha,@gabturquetti,2009-06-30T04:00:28.000Z,eu amo fics
10,gabizinha,@gabturquetti,2009-06-30T03:42:52.000Z,vou ler alguma fic :B
11,gabizinha,@gabturquetti,2009-06-30T02:56:09.000Z,tô pensando em em criar uma web comofas
12,gabizinha,@gabturquetti,2009-06-30T02:45:02.000Z,"de preferencia ""precisamos falar com kevin"" q"
13,gabizinha,@gabturquetti,2009-06-30T02:44:32.000Z,alguem mim dá um livro ? q
14,gabizinha,@gabturquetti,2009-06-30T02:43:21.000Z,editando umas fotos no notbook
15,gabizinha,@gabturquetti,2009-06-30T02:09:19.000Z,"Em resposta a 
@xsamadhi@italloRafael
 uma hora depois eu respondo xD mals  vou ver se eu vou ver ou seila :B"
16,gabizinha,@gabturquetti,2009-06-30T02:01:06.000Z,lalalalalalalalal tedio D:
17,gabizinha,@gabturquetti,2009-06-30T00:44:47.000Z,"Em resposta a 
@xsamadhi@italloRafael
 hahaha que viado D:"
18,gabizinha,@gabturquetti,2009-06-30T00:41:24.000Z,"Em resposta a 
@xsamadhi@italloRafael
 nossa, JPOSEIJSPEOIJ eu nem tinha me ligado XD"
19,gabizinha,@gabturquetti,2009-06-30T00:40:20.000Z,adoro jogar xadrez sozinha mano q
20,gabizinha,@gabturquetti,2009-06-30T14:54:50.000Z,i found some pics of tdf I LOVED <33
21,gabizinha,@gabturquetti,2009-06-30T14:46:10.000Z,backkk
22,gabizinha,@gabturquetti,2009-06-30T14:34:36.000Z,"ok, já tomei  meu café da manha agora irei fazer um favorzinho pra mamae"
23,gabizinha,@gabturquetti,2009-06-30T14:22:00.000Z,adoro cookies de café da manha nhac nhac
24,gabizinha,@gabturquetti,2009-06-30T14:19:53.000Z,nham nham cookies :D
25,gabizinha,@gabturquetti,2009-06-30T14:19:00.000Z,"good morning, i woke up at 11 and i was reading breaking dawn :D"
26,gabizinha,@gabturquetti,2009-06-30T04:28:23.000Z,good night followers :D
27,gabizinha,@gabturquetti,2009-06-30T04:28:10.000Z,vou ler o amanhecer e mimir beigos e queigos <33
28,gabizinha,@gabturquetti,2009-06-30T04:20:44.000Z,i still love son of dork
29,gabizinha,@gabturquetti,2009-06-30T04:00:28.000Z,eu amo fics
30,gabizinha,@gabturquetti,2009-06-30T03:42:52.000Z,vou ler alguma fic :B
31,gabizinha,@gabturquetti,2009-06-30T02:56:09.000Z,tô pensando em em criar uma web comofas
32,gabizinha,@gabturquetti,2009-06-30T02:45:02.000Z,"de preferencia ""precisamos falar com kevin"" q"
33,gabizinha,@gabturquetti,2009-06-30T02:44:32.000Z,alguem mim dá um livro ? q
34,gabizinha,@gabturquetti,2009-06-30T02:43:21.000Z,editando umas fotos no notbook
35,gabizinha,@gabturquetti,2009-06-30T02:09:19.000Z,"Em resposta a 
@xsamadhi@italloRafael
 uma hora depois eu respondo xD mals  vou ver se eu vou ver ou seila :B"
36,gabizinha,@gabturquetti,2009-06-30T02:01:06.000Z,lalalalalalalalal tedio D:
37,gabizinha,@gabturquetti,2009-06-30T00:44:47.000Z,"Em resposta a 
@xsamadhi@italloRafael
 hahaha que viado D:"
38,gabizinha,@gabturquetti,2009-06-30T00:41:24.000Z,"Em resposta a 
@xsamadhi@italloRafael
 nossa, JPOSEIJSPEOIJ eu nem tinha me ligado XD"
39,gabizinha,@gabturquetti,2009-06-30T00:40:20.000Z,adoro jogar xadrez sozinha mano q
40,gabizinha,@gabturquetti,2009-06-30T00:38:55.000Z,"Em resposta a 
@xsamadhi@italloRafael
 UM ANO E MEIO ? o_o"
41,gabizinha,@gabturquetti,2009-06-30T00:36:20.000Z,"Em resposta a 
@xsamadhi@italloRafael
 MEU DEUS, QUE RAPIDO o_o eu achei que ia demorar mais q"
42,gabizinha,@gabturquetti,2009-06-30T00:29:38.000Z,"Em resposta a 
@xsamadhi@italloRafael
 dia 15 já é a pré estreia ? O:"
43,gabizinha,@gabturquetti,2009-06-30T00:18:55.000Z,"Em resposta a 
@xsamadhi@italloRafael
 simsim, só dos filmes não tenho paciencia de ler os livros G_G"
44,gabizinha,@gabturquetti,2009-06-30T00:17:59.000Z,branca-
45,gabizinha,@gabturquetti,2009-06-30T00:17:49.000Z,alguem sabe se o rei ele fica na casa preta ou braca?
46,gabizinha,@gabturquetti,2009-06-30T00:15:27.000Z,playing chess alone D:
47,gabizinha,@gabturquetti,2009-06-30T00:15:08.000Z,i wanna be gio falcone D:
48,gabizinha,@gabturquetti,2009-06-30T00:14:38.000Z,mano o tom tá quase com 2 mil tweets VICIADO!
49,gabizinha,@gabturquetti,2009-06-30T00:07:20.000Z,"Em resposta a 
@xsamadhi@italloRafael
 não tem nem aonde e nem quando vai ser, mas a laís e a bella vai :D"
50,gabizinha,@gabturquetti,2009-06-30T00:01:05.000Z,"Em resposta a 
@xsamadhi@italloRafael
 meeting é aonde os fãs se reunem :B ai vai ter um do tom :D"
51,gabizinha,@gabturquetti,2009-06-29T23:52:53.000Z,"Em resposta a 
@xsamadhi@italloRafael
 sim, acho que até o final desse mês eu estou foda :D diz ae, vai no meeting?"
52,gabizinha,@gabturquetti,2009-06-29T23:27:53.000Z,"Em resposta a 
@xsamadhi@italloRafael
  estão ótimas, eu consigo fazer direitinho as da segunda casa mas o F e o Fm me matam X_X to quase lá :D"
53,gabizinha,@gabturquetti,2009-06-29T23:14:30.000Z,playing guitar :D
54,gabizinha,@gabturquetti,2009-06-29T22:54:14.000Z,gabaritei a prova de matematica comofas
55,gabizinha,@gabturquetti,2009-06-29T22:48:12.000Z,back back back :D
56,gabizinha,@gabturquetti,2009-06-29T04:17:23.000Z,"vou mimir, tenho que reestudar amanha :D um beijo e um queijo :D GOOD NIGHT FOLLOWERS <3"
57,gabizinha,@gabturquetti,2009-06-29T04:16:21.000Z,"Em resposta a 
@annajota@annalbernaz
 hey there :D"
58,gabizinha,@gabturquetti,2009-06-29T02:24:08.000Z,true blood is awesome!
59,gabizinha,@gabturquetti,2009-06-29T01:20:09.000Z,"Em resposta a 
@marinafonsecaw@marinafletcher
 good night flet <333"
60,gabizinha,@gabturquetti,2009-06-30T00:36:20.000Z,"Em resposta a 
@xsamadhi@italloRafael
 MEU DEUS, QUE RAPIDO o_o eu achei que ia demorar mais q"
61,gabizinha,@gabturquetti,2009-06-30T00:29:38.000Z,"Em resposta a 
@xsamadhi@italloRafael
 dia 15 já é a pré estreia ? O:"
62,gabizinha,@gabturquetti,2009-06-30T00:18:55.000Z,"Em resposta a 
@xsamadhi@italloRafael
 simsim, só dos filmes não tenho paciencia de ler os livros G_G"
63,gabizinha,@gabturquetti,2009-06-30T00:17:59.000Z,branca-
64,gabizinha,@gabturquetti,2009-06-30T00:17:49.000Z,alguem sabe se o rei ele fica na casa preta ou braca?
65,gabizinha,@gabturquetti,2009-06-30T00:15:27.000Z,playing chess alone D:
66,gabizinha,@gabturquetti,2009-06-30T00:15:08.000Z,i wanna be gio falcone D:
67,gabizinha,@gabturquetti,2009-06-30T00:14:38.000Z,mano o tom tá quase com 2 mil tweets VICIADO!
68,gabizinha,@gabturquetti,2009-06-30T00:07:20.000Z,"Em resposta a 
@xsamadhi@italloRafael
 não tem nem aonde e nem quando vai ser, mas a laís e a bella vai :D"
69,gabizinha,@gabturquetti,2009-06-30T00:01:05.000Z,"Em resposta a 
@xsamadhi@italloRafael
 meeting é aonde os fãs se reunem :B ai vai ter um do tom :D"
70,gabizinha,@gabturquetti,2009-06-29T23:52:53.000Z,"Em resposta a 
@xsamadhi@italloRafael
 sim, acho que até o final desse mês eu estou foda :D diz ae, vai no meeting?"
71,gabizinha,@gabturquetti,2009-06-29T23:27:53.000Z,"Em resposta a 
@xsamadhi@italloRafael
  estão ótimas, eu consigo fazer direitinho as da segunda casa mas o F e o Fm me matam X_X to quase lá :D"
72,gabizinha,@gabturquetti,2009-06-29T23:14:30.000Z,playing guitar :D
73,gabizinha,@gabturquetti,2009-06-29T22:54:14.000Z,gabaritei a prova de matematica comofas
74,gabizinha,@gabturquetti,2009-06-29T22:48:12.000Z,back back back :D
75,gabizinha,@gabturquetti,2009-06-29T04:17:23.000Z,"vou mimir, tenho que reestudar amanha :D um beijo e um queijo :D GOOD NIGHT FOLLOWERS <3"
76,gabizinha,@gabturquetti,2009-06-29T04:16:21.000Z,"Em resposta a 
@annajota@annalbernaz
 hey there :D"
77,gabizinha,@gabturquetti,2009-06-29T02:24:08.000Z,true blood is awesome!
78,gabizinha,@gabturquetti,2009-06-29T01:20:09.000Z,"Em resposta a 
@marinafonsecaw@marinafletcher
 good night flet <333"
79,gabizinha,@gabturquetti,2009-06-29T01:13:18.000Z,SIGN! http://twitition.com/clnwr TDF IN BRAZIL xX
80,gabizinha,@gabturquetti,2009-06-29T01:11:59.000Z,"@ohanabanana
 ela passou alguma coisa pra escrever? mano, não tem nada sobre o que vai cair na prova no caderno, como eu vou poder estudar?"
81,gabizinha,@gabturquetti,2009-06-29T01:09:57.000Z,"@ohanabanana
 ohanita, :D"
82,gabizinha,@gabturquetti,2009-06-29T00:03:10.000Z,"Em resposta a 
@cameronleahy@cameronTDF
 HEY CAMERON!"
83,gabizinha,@gabturquetti,2009-06-29T00:02:36.000Z,"AFTER A LOOONG TIME, I'LL STUDY :D"
84,gabizinha,@gabturquetti,2009-06-28T23:46:56.000Z,"Em resposta a 
@marinafonsecaw@marinafletcher
 sim e voce?"
