,0,1,2,3
0,gabizinha,@gabturquetti,2018-02-25T11:35:14.000Z,"Em resposta a 
@Sou_SimpaticoSei"
1,Lesbigay,@amandacmpl,2018-02-24T16:12:06.000Z,Amigas vou vender torta de banana com chocolate e vcs pfvr compra essa disgrama pois preciso ir pra Colômbia jogar meus disquinho
2,gabizinha,@gabturquetti,2018-02-25T11:34:52.000Z,EU COMPRO
3,gabizinha,@gabturquetti,2018-02-23T16:43:53.000Z,"Em resposta a 
@gabichaves_quase 100 fotos miga kkkkkkkkk"
4,gabizinha,@gabturquetti,2018-02-23T16:29:28.000Z,"eu amo ser paga pra isso, voces nao tem noção"
5,gabizinha,@gabturquetti,2018-02-23T16:29:18.000Z,O chefe de vcs também pede pra você escanear um album de fotos inteiro para ele?
6,Ser de luz,@Sou_Simpatico,2018-02-23T14:42:24.000Z,"Em resposta a 
@amandacmpl
 e 
@gabturquettiQuando vc pegar um prato esteja preparada porque estarei lá pra iniciar a contagem"
7,gabizinha,@gabturquetti,2018-02-23T14:49:06.000Z,BEEEEEERROO KKKKKKKKKKKKKKKKKKKKKKKKKKKKK
8,Ser de luz,@Sou_Simpatico,2018-02-23T14:01:23.000Z,"Em resposta a 
@gabturquettiEstou me perguntando a cada instante o que estou fazendo aqui"
9,gabizinha,@gabturquetti,2018-02-23T14:01:57.000Z,"Eu tb, to só existindo aqui"
10,gabizinha,@gabturquetti,2018-02-23T14:00:01.000Z,Hoje a minha vontade de trabalhar tá inexistente
11,Ser de luz,@Sou_Simpatico,2018-02-23T13:41:44.000Z,"Comprei uns livros e a entrega adiantou pro dia do meu aniversário, é basicamente um auto presente.
Valeu vida"
12,gabizinha,@gabturquetti,2018-02-23T13:53:31.000Z,comprou quaisss?
13,gabizinha,@gabturquetti,2018-02-23T12:13:01.000Z,Esse charme todo quase me fez querer ficar em casa hoje
14,gabizinha,@gabturquetti,2018-02-23T12:13:01.000Z,Esse charme todo quase me fez querer ficar em casa hoje
15,gabizinha,@gabturquetti,2018-02-23T12:04:19.000Z,"Em resposta a 
@Sou_Simpatico
 e 
@correioVEI"
16,gabizinha,@gabturquetti,2018-02-23T12:03:22.000Z,"Em resposta a 
@Sou_Simpatico
 e 
@amandacmplKkk"
17,gabizinha,@gabturquetti,2018-02-23T12:03:18.000Z,"Em resposta a 
@Sou_Simpatico
 e 
@amandacmplRindo de nervoso e medo "
18,gabizinha,@gabturquetti,2018-02-22T18:30:23.000Z,não to crendo que o marco esqueceu de mim kkkkkkkkkkkkkkk ô disgraça
19,gabizinha,@gabturquetti,2018-02-22T10:48:41.000Z,"Em resposta a 
@gabichaves_Ô migona! Ta acabando"
20,Lesbigay,@amandacmpl,2018-02-22T01:25:18.000Z,"Em resposta a 
@gabturquettiEmocionada com esse momento do primeiro salário parabéns princesa"
21,gabizinha,@gabturquetti,2018-02-22T01:48:47.000Z,"Demais, a espera fez eu valorizar mais ainda esse primeiro salário kkkk"
22,gabizinha,@gabturquetti,2018-02-22T00:10:31.000Z,CAIU MEU SALARIO SANGUE DE JESUS TEM PODERRRRRRRR
23,gabizinha,@gabturquetti,2018-02-21T22:41:03.000Z,mt feliz com meu pirci novooooo
24,Ser de luz,@Sou_Simpatico,2018-02-19T10:39:53.000Z,"Em resposta a 
@gabturquettiAi que maravilha!!!"
25,gabizinha,@gabturquetti,2018-02-19T10:40:44.000Z,Kkkkkkkkkk to me forçando a aprender a pegar disco com a outra mão pra essa mão n cair
26,Ser de luz,@Sou_Simpatico,2018-02-19T10:32:37.000Z,"Esse fim de semana meu corpo não descansou, tô morto preciso de um dia parado"
27,gabizinha,@gabturquetti,2018-02-19T10:38:51.000Z,E ainda to com esse roxo top
28,gabizinha,@gabturquetti,2018-02-19T10:37:19.000Z,"Em resposta a 
@Sou_SimpaticoSIM PARECE QUE EU FUI ATROPELADA POR 10 TRATORES"
29,gabizinha,@gabturquetti,2018-02-19T10:31:46.000Z,Torcendo para ser dispensada desse campo de hoje
30,gabizinha,@gabturquetti,2018-02-19T10:27:14.000Z,Isso porque eu limpo todo mês
31,gabizinha,@gabturquetti,2018-02-19T10:27:13.000Z,"Amei muito as 5h da manhã estar tirando cabelo do box, amo muito mesmo kkkk"
32,gabizinha,@gabturquetti,2018-02-19T10:26:07.000Z,O dia já começou top quando vc vai tomar banho e a água vaza por todos os lados do banheiro e inunda tudo
33,nath araujo,@nanaths,2018-02-17T01:03:14.000Z,"Em resposta a 
@nanathsvou chegar lá DESCULPAAAAA MAMAIM TE AMA MUITU"
34,gabizinha,@gabturquetti,2018-02-17T01:39:44.000Z,É assim mesmo
35,gabizinha,@gabturquetti,2018-02-16T22:34:51.000Z,"Em resposta a 
@wandLinha
 e 
@AmandLaGandHiTopo"
36,gabizinha,@gabturquetti,2018-02-16T22:34:23.000Z,N to crendo que hj passei de 7:30 as 20:30 em campo
37,gabizinha,@gabturquetti,2018-02-16T10:13:03.000Z,Ansiosissssssima para os incríveis kkkk
38,gabizinha,@gabturquetti,2018-02-16T10:12:35.000Z,Pois é menina kkkkk tive que dar uma arrochada na graduação pra conseguir formar certinho e vou adiantar meu mestrado em 6 meses
39,gabizinha,@gabturquetti,2018-02-16T10:07:38.000Z,Pois é menina kkk passa mt rápido
40,nath araujo,@nanaths,2018-02-17T01:03:14.000Z,"Em resposta a 
@nanathsvou chegar lá DESCULPAAAAA MAMAIM TE AMA MUITU"
41,gabizinha,@gabturquetti,2018-02-17T01:39:44.000Z,É assim mesmo
42,gabizinha,@gabturquetti,2018-02-16T22:34:51.000Z,"Em resposta a 
@wandLinha
 e 
@AmandLaGandHiTopo"
43,gabizinha,@gabturquetti,2018-02-16T22:34:23.000Z,N to crendo que hj passei de 7:30 as 20:30 em campo
44,gabizinha,@gabturquetti,2018-02-16T10:13:03.000Z,Ansiosissssssima para os incríveis kkkk
45,gabizinha,@gabturquetti,2018-02-16T10:12:35.000Z,Pois é menina kkkkk tive que dar uma arrochada na graduação pra conseguir formar certinho e vou adiantar meu mestrado em 6 meses
46,gabizinha,@gabturquetti,2018-02-16T10:07:38.000Z,Pois é menina kkk passa mt rápido
47,gabizinha,@gabturquetti,2018-02-16T10:07:20.000Z,VAAAAAAAAAI
48,gabizinha,@gabturquetti,2018-02-15T16:32:49.000Z,Te entendo real rafinha! Final do ano to terminando meu mestrado e to animadíssima com a estreia de hotel Transilvânia 3
49,gabizinha,@gabturquetti,2018-02-15T02:05:03.000Z,"só queria dizer que, consegui um sim amigos!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! meu deus que alivio senhor amado"
50,gabizinha,@gabturquetti,2018-02-14T23:55:24.000Z,"Hoje fez 7 anos que eu conheço a 
@AmandLaGandhi
 <3"
51,gabizinha,@gabturquetti,2018-02-14T23:52:24.000Z,"Em resposta a 
@nanathsAAAAAAAAAA QUE BBZINHO"
52,gabizinha,@gabturquetti,2018-02-14T17:47:12.000Z,"E claro, aquela maravilhosa data chamada de: aniversário"
53,gabizinha,@gabturquetti,2018-02-14T17:46:39.000Z,"Agora que o carnaval passou, mal posso esperar para a melhor festa do ano: festa junina"
