,index,Unnamed: 0,name,handle,time,tweet
27,46,46,gabizinha,@gabturquetti,2013-04-21 11:06:41-03:00,"My Top 3 #lastfm Artists: Radiohead (59), Morrissey (59) & Placebo (2) http://bit.ly/dp5r3U"
64,117,117,gabizinha,@gabturquetti,2013-04-14 13:48:43-03:00,"My Top 3 #lastfm Artists: Blur (37), Radiohead (13) & Oasis (2) http://bit.ly/dp5r3U"
90,172,172,gabizinha,@gabturquetti,2013-04-07 18:42:23-03:00,"My Top 3 #lastfm Artists: The Killers (71), Oasis (52) & The Kooks (26) http://bit.ly/dp5r3U"
258,497,497,gabizinha,@gabturquetti,2013-03-10 17:17:01-03:00,"My Top 3 #lastfm Artists: Placebo (96), Foo Fighters (36) & Interpol (20) http://bit.ly/dp5r3U"
293,573,573,gabizinha,@gabturquetti,2013-03-03 22:24:51-03:00,"My Top 3 #lastfm Artists: Franz Ferdinand (21), Morrissey (20) & Oasis (17) http://bit.ly/dp5r3U"
319,621,621,gabizinha,@gabturquetti,2013-02-24 15:11:34-03:00,"My Top 3 #lastfm Artists: The Black Keys (15), AC/DC (10) & Alex Turner (6) http://bit.ly/dp5r3U"
370,715,715,gabizinha,@gabturquetti,2013-02-17 23:09:58-03:00,"My Top 3 #lastfm Artists: The Beatles (27), The Smiths (17) & Pink Floyd (13) http://bit.ly/dp5r3U"
400,771,771,gabizinha,@gabturquetti,2013-02-10 22:27:38-02:00,"My Top 3 #lastfm Artists: Pink Floyd (48), The Beatles (27) & The Smiths (14) http://bit.ly/dp5r3U"
423,823,823,gabizinha,@gabturquetti,2013-02-03 16:44:28-02:00,"My Top 3 #lastfm Artists: Radiohead (33), Los Hermanos (23) & Placebo (18) http://bit.ly/dp5r3U"
504,982,982,gabizinha,@gabturquetti,2013-01-13 16:46:24-02:00,"My Top 3 #lastfm Artists: Placebo (29), David Bowie (13) & Radiohead (9) http://bit.ly/dp5r3U"
811,1587,1587,gabizinha,@gabturquetti,2012-12-03 14:34:58-02:00,"My Top 3 #lastfm Artists: Radiohead (82), The Beatles (58) & David Bowie (8) http://bit.ly/dp5r3U"
877,1707,1707,gabizinha,@gabturquetti,2012-11-25 18:22:51-02:00,"My Top 3 #lastfm Artists: Foo Fighters (11), Oasis (9) & Radiohead (3) http://bit.ly/dp5r3U"
985,1929,1929,gabizinha,@gabturquetti,2012-11-12 04:50:37-02:00,"My Top 3 #lastfm Artists: Franz Ferdinand (10), Arctic Monkeys (7) & Radiohead (4) http://bit.ly/dp5r3U"
1096,2146,2146,gabizinha,@gabturquetti,2012-10-21 18:52:40-02:00,"My Top 3 #lastfm Artists: Radiohead (68), Peter Bjorn and John (12) & Foo Fighters (4) http://bit.ly/dp5r3U"
1123,2195,2195,gabizinha,@gabturquetti,2012-10-14 22:04:39-03:00,"My Top 3 #lastfm Artists: Placebo (15), Radiohead (12) & Blur (9) http://bit.ly/dp5r3U"
1260,2469,2469,gabizinha,@gabturquetti,2012-09-16 14:57:15-03:00,"My Top 3 #lastfm Artists: The Black Keys (105), The Beatles (85) & The Strokes (40) http://bit.ly/dp5r3U"
1323,2594,2594,gabizinha,@gabturquetti,2012-09-02 23:18:19-03:00,"My Top 3 #lastfm Artists: Radiohead (158), Placebo (57) & John Mayer (24) http://bit.ly/dp5r3U"
1358,2662,2662,gabizinha,@gabturquetti,2012-08-27 00:21:53-03:00,"My Top 3 #lastfm Artists: The Beatles (24), Placebo (10) & The Smiths (7) http://bit.ly/dp5r3U"
1401,2744,2744,gabizinha,@gabturquetti,2012-08-19 18:51:46-03:00,"My Top 3 #lastfm Artists: Placebo (86), Idil Biret (28) & John Mayer (26) http://bit.ly/dp5r3U"
1409,2761,2761,gabizinha,@gabturquetti,2012-08-12 10:48:07-03:00,"My Top 3 #lastfm Artists: The Strokes (42), Los Hermanos (15) & John Mayer (2) http://bit.ly/dp5r3U"
1488,2911,2911,gabizinha,@gabturquetti,2012-07-22 14:02:31-03:00,"My Top 3 #lastfm Artists: Franz Ferdinand (41), Arctic Monkeys (17) & The xx (13) http://bit.ly/dp5r3U"
1522,2979,2979,gabizinha,@gabturquetti,2012-07-15 14:26:23-03:00,"My Top 3 #lastfm Artists: Radiohead (44), Franz Ferdinand (30) & The Strokes (25) http://bit.ly/dp5r3U"
1553,3035,3035,gabizinha,@gabturquetti,2012-07-08 14:22:20-03:00,"My Top 3 #lastfm Artists: The Strokes (47), Oasis (19) & Franz Ferdinand (5) http://bit.ly/dp5r3U"
1568,3068,3068,gabizinha,@gabturquetti,2012-07-01 15:18:01-03:00,"My Top 3 #lastfm Artists: The Strokes (48), John Mayer (29) & MGMT (7) http://bit.ly/dp5r3U"
1589,3100,3100,gabizinha,@gabturquetti,2012-06-24 16:21:50-03:00,"My Top 3 #lastfm Artists: Radiohead (32), Foo Fighters (24) & John Mayer (24) http://bit.ly/dp5r3U"
1604,3135,3135,gabizinha,@gabturquetti,2012-06-17 13:46:26-03:00,"My Top 3 #lastfm Artists: Radiohead (67), Miniature Tigers (17) & Foo Fighters (16) http://bit.ly/dp5r3U"
1634,3190,3190,gabizinha,@gabturquetti,2012-06-10 20:22:00-03:00,"My Top 3 #lastfm Artists: The Killers (24), The Strokes (19) & Placebo (10) http://bit.ly/dp5r3U"
1675,3278,3278,gabizinha,@gabturquetti,2012-06-03 09:02:25-03:00,"My Top 3 #lastfm Artists: The Strokes (107), The Vaccines (54) & Placebo (26) http://bit.ly/dp5r3U"
1730,3391,3391,gabizinha,@gabturquetti,2012-05-27 10:51:43-03:00,"My Top 3 #lastfm Artists: Arctic Monkeys (101), Radiohead (51) & Placebo (44) http://bit.ly/dp5r3U"
1757,3448,3448,gabizinha,@gabturquetti,2012-05-20 05:20:25-03:00,"My Top 3 #lastfm Artists: Los Hermanos (52), Belle and Sebastian (22) & Nirvana (8) http://bit.ly/dp5r3U"
1810,3543,3543,gabizinha,@gabturquetti,2012-05-13 08:33:01-03:00,"My Top 3 #lastfm Artists: The Beatles (120), Radiohead (109) & Franz Ferdinand (25) http://bit.ly/dp5r3U"
1879,3685,3685,gabizinha,@gabturquetti,2012-05-06 09:35:05-03:00,"My Top 3 #lastfm Artists: Pink Floyd (60), Los Hermanos (52) & Franz Ferdinand (30) http://bit.ly/dp5r3U"
1909,3739,3739,gabizinha,@gabturquetti,2012-04-29 16:10:58-03:00,"My Top 3 #lastfm Artists: The Strokes (46), Belle and Sebastian (36) & Arctic Monkeys (14) http://bit.ly/dp5r3U"
1939,3799,3799,gabizinha,@gabturquetti,2012-04-22 16:16:13-03:00,"My Top 3 #lastfm Artists: Radiohead (24), Arctic Monkeys (23) & Los Hermanos (20) http://bit.ly/dp5r3U"
1962,3841,3841,gabizinha,@gabturquetti,2012-04-15 18:31:09-03:00,"My Top 3 #lastfm Artists: Radiohead (77), Kasabian (21) & John Mayer (20) http://bit.ly/dp5r3U"
2005,3921,3921,gabizinha,@gabturquetti,2012-04-08 07:07:04-03:00,"My Top 3 #lastfm Artists: Regina Spektor (17), Arctic Monkeys (12) & Red Hot Chili Peppers (9) http://bit.ly/dp5r3U"
2051,4016,4016,gabizinha,@gabturquetti,2012-04-01 12:00:27-03:00,"My Top 3 #lastfm Artists: The Beatles (94), Arctic Monkeys (39) & Justice (34) http://bit.ly/dp5r3U"
2089,4096,4096,gabizinha,@gabturquetti,2012-03-25 12:56:44-03:00,"My Top 3 #lastfm Artists: Adam Green (46), Bright Eyes (23) & The xx (14) http://bit.ly/dp5r3U"
2124,4158,4158,gabizinha,@gabturquetti,2012-03-18 22:23:28-03:00,"My Top 3 #lastfm Artists: Los Hermanos (33), Foo Fighters (31) & Morrissey (30) http://bit.ly/dp5r3U"
2162,4229,4229,gabizinha,@gabturquetti,2012-03-11 13:54:53-03:00,"My Top 3 #lastfm Artists: Arctic Monkeys (52), The Kooks (29) & Radiohead (22) http://bit.ly/dp5r3U"
2224,4360,4360,gabizinha,@gabturquetti,2012-03-04 19:59:44-03:00,"My Top 3 #lastfm Artists: Idil Biret (42), Arctic Monkeys (24) & The Strokes (15) http://bit.ly/dp5r3U"
2291,4490,4490,gabizinha,@gabturquetti,2012-02-26 20:29:19-03:00,"My Top 3 #lastfm Artists: Radiohead (44), Los Hermanos (30) & The xx (30) http://bit.ly/dp5r3U"
