,artistas,contagem
0,Radiohead,59
1,Morrissey,59
2,Placebo,2
3,Blur,37
4,Radiohead,13
5,Oasis,2
6,The Killers,71
7,Oasis,52
8,The Kooks,26
9,Placebo,96
10,Foo Fighters,36
11,Interpol,20
12,Franz Ferdinand,21
13,Morrissey,20
14,Oasis,17
15,The Black Keys,15
16,AC/DC,10
17,Alex Turner,6
18,The Beatles,27
19,The Smiths,17
20,Pink Floyd,13
21,Pink Floyd,48
22,The Beatles,27
23,The Smiths,14
24,Radiohead,33
25,Los Hermanos,23
26,Placebo,18
27,Placebo,29
28,David Bowie,13
29,Radiohead,9
30,Radiohead,82
31,The Beatles,58
32,David Bowie,8
33,Foo Fighters,11
34,Oasis,9
35,Radiohead,3
36,Franz Ferdinand,10
37,Arctic Monkeys,7
38,Radiohead,4
39,Radiohead,68
40,Peter Bjorn and John,12
41,Foo Fighters,4
42,Placebo,15
43,Radiohead,12
44,Blur,9
45,The Black Keys,105
46,The Beatles,85
47,The Strokes,40
48,Radiohead,158
49,Placebo,57
50,John Mayer,24
51,The Beatles,24
52,Placebo,10
53,The Smiths,7
54,Placebo,86
55,Idil Biret,28
56,John Mayer,26
57,The Strokes,42
58,Los Hermanos,15
59,John Mayer,2
60,Franz Ferdinand,41
61,Arctic Monkeys,17
62,The xx,13
63,Radiohead,44
64,Franz Ferdinand,30
65,The Strokes,25
66,The Strokes,47
67,Oasis,19
68,Franz Ferdinand,5
69,The Strokes,48
70,John Mayer,29
71,MGMT,7
72,Radiohead,32
73,Foo Fighters,24
74,John Mayer,24
75,Radiohead,67
76,Miniature Tigers,17
77,Foo Fighters,16
78,The Killers,24
79,The Strokes,19
80,Placebo,10
81,The Strokes,107
82,The Vaccines,54
83,Placebo,26
84,Arctic Monkeys,101
85,Radiohead,51
86,Placebo,44
87,Los Hermanos,52
88,Belle and Sebastian,22
89,Nirvana,8
90,The Beatles,120
91,Radiohead,109
92,Franz Ferdinand,25
93,Pink Floyd,60
94,Los Hermanos,52
95,Franz Ferdinand,30
96,The Strokes,46
97,Belle and Sebastian,36
98,Arctic Monkeys,14
99,Radiohead,24
100,Arctic Monkeys,23
101,Los Hermanos,20
102,Radiohead,77
103,Kasabian,21
104,John Mayer,20
105,Regina Spektor,17
106,Arctic Monkeys,12
107,Red Hot Chili Peppers,9
108,The Beatles,94
109,Arctic Monkeys,39
110,Justice,34
111,Adam Green,46
112,Bright Eyes,23
113,The xx,14
114,Los Hermanos,33
115,Foo Fighters,31
116,Morrissey,30
117,Arctic Monkeys,52
118,The Kooks,29
119,Radiohead,22
120,Idil Biret,42
121,Arctic Monkeys,24
122,The Strokes,15
123,Radiohead,44
124,Los Hermanos,30
125,The xx,30
126,Foo Fighters,48
127,David Bowie,30
128,The xx,20
129,Foo Fighters,61
130,Little Joy,33
131,Radiohead,29
132,The Kooks,93
133,The xx,48
134,The Beatles,45
135,The Beatles,141
136,The Kooks,66
137,Los Hermanos,46
138,Los Hermanos,120
139,The Black Keys,44
140,The Beatles,29
141,The Beatles,20
142,The Black Keys,16
143,Joy Division,13
144,The Black Keys,245
145,Oasis,67
146,Blur,55
147,The xx,51
148,The Beatles,50
149,The Strokes,37
150,Arctic Monkeys,153
151,Weezer,49
152,Pink Floyd,47
153,The Kooks,100
154,The Black Keys,82
155,Arctic Monkeys,62
156,Radiohead,98
157,Elvis Presley,74
158,David Bowie,46
159,Los Hermanos,43
160,Radiohead,33
161,Arctic Monkeys,18
162,Muse,80
163,Arctic Monkeys,39
164,Joan Jett and the Blackhearts,38
165,Arctic Monkeys,68
166,Los Hermanos,36
167,Tiê,33
168,Kings of Convenience,70
169,The xx,65
170,Arctic Monkeys,35
171,Plain White T's,23
172,Phantom Planet,18
173,Weezer,11
174,John Mayer,117
175,The xx,92
176,Radiohead,19
177,Los Hermanos,97
178,The xx,85
179,Arctic Monkeys,31
180,Móveis Coloniais de Acaju,38
181,David Bowie,30
182,Radiohead,28
183,The xx,121
184,John Mayer,53
185,Radiohead,45
186,Radiohead,85
187,The Smiths,46
188,The xx,45
189,The xx,165
190,Adam Green,44
191,The Smiths,40
192,Radiohead,113
193,The Smiths,43
194,Ida Maria,30
195,Arctic Monkeys,70
196,The Smiths,62
197,John Mayer,46
198,David Bowie,48
199,Elliott Smith,35
200,The Killers,21
201,The Strokes,36
202,The Smiths,29
203,Los Hermanos,19
204,Vespas Mandarinas,87
205,Adam Green,47
206,Blur,46
207,Placebo,72
208,Arctic Monkeys,71
209,John Mayer,61
210,John Mayer,76
211,Blur,68
212,Los Hermanos,27
213,The Beatles,85
214,The Kooks,65
215,The Killers,57
216,Radiohead,70
217,Móveis Coloniais de Acaju,64
218,Arctic Monkeys,44
219,Arctic Monkeys,38
220,Interpol,33
221,Radiohead,24
222,Adam Green,55
223,John Mayer,49
224,Móveis Coloniais de Acaju,19
225,Arctic Monkeys,76
226,Interpol,68
227,Radiohead,40
228,Arctic Monkeys,100
229,Adam Green,33
230,Elvis Presley,31
231,John Mayer,26
232,Arctic Monkeys,20
233,Elvis Presley,11
234,Belle and Sebastian,48
235,The Beatles,42
236,Radiohead,29
237,Radiohead,75
238,Adam Green,67
239,John Mayer,20
240,David Bowie,117
241,Radiohead,95
242,Placebo,68
243,Radiohead,106
244,John Mayer,54
245,David Bowie,36
246,Radiohead,103
247,Los Hermanos,32
248,Oasis,23
249,Radiohead,52
250,Belle and Sebastian,37
251,Elvis Presley,22
252,Radiohead,147
253,The Beatles,44
254,The Libertines,36
