,index,tweet
2,gente,8
3,saudade,6
4,mostrar,6
5,sequencia,6
8,feira,4
10,100daysofcode,4
14,passar,3
16,professor,3
17,amigos,3
19,quarentena,3
21,semana,3
22,eduvalentin93,3
24,familia,3
29,ainda,2
32,pandemia,2
33,norte,2
36,malfeitona,2
37,quantos,2
38,relacionamento,2
39,challenge,2
40,uchis,2
41,chorando,2
42,saudades,2
43,ratinha,2
45,carreira,2
47,mereco,2
49,aniversario,2
50,voltar,2
51,finalmente,2
52,kkkkk,2
53,parabens,2
54,vergonha,2
55,pisando,2
56,contando,2
57,rindo,2
58,artigo,2
60,reais,2
61,jogar,2
62,fofoca,2
63,terca,2
64,coracao,2
65,theaudl,2
66,aumento,2
67,dificil,2
68,cansada,2
69,competir,2
70,comprei,2
74,transicao,2
77,forasteira,2
78,brincadeira,2
85,escola,2
87,trabalhando,2
89,aluno,2
91,newprofilepic,2
94,horrivel,2
99,aeroporto,1
100,sazon,1
103,neultiworld,1
105,braco,1
106,encheu,1
108,infectados,1
109,lagrima,1
110,raspagem,1
111,casando,1
112,alemanha,1
113,bonitinhos,1
114,lancho,1
115,caiocezxr,1
116,roupa,1
117,faixa,1
118,ideia,1
119,aquele,1
120,despedacado,1
121,oatila,1
122,camilamenezes31,1
123,fizeram,1
124,kkkkksherlock,1
125,levantando,1
126,casal,1
127,sexta,1
128,grade,1
129,emocionadah,1
130,story,1
132,liberado,1
134,dinamarca,1
136,cuidando,1
138,thrift,1
139,ceimuitatreta,1
140,afastadas,1
141,ralando,1
142,unfair,1
143,today,1
145,estacionamento,1
147,brasilia,1
148,errado,1
149,frita,1
151,presenciais,1
152,crossing,1
153,conta,1
155,banguelinha,1
156,disponivel,1
157,completando,1
158,trabalhei,1
159,chave,1
160,chorarei,1
161,excelentissimo,1
162,protestocaio,1
163,tweet,1
166,sufoco,1
167,negocio,1
168,autora,1
169,comigo,1
170,rolando,1
171,sentados,1
172,professores,1
173,risotinho,1
174,camilladelucas,1
175,ventando,1
176,salario,1
177,etaria,1
179,pixie,1
182,fiquei,1
184,garimpeira,1
186,noruega,1
188,github,1
190,encontrar,1
191,senhor,1
192,ansiedade,1
194,satisfeita,1
195,voltaram,1
196,safada,1
197,maravilhosa,1
198,crianca,1
200,engole,1
202,qualified,1
203,faculdade,1
204,muitatreta,1
205,titulo,1
206,importancia,1
207,segunda,1
208,clothes,1
210,quebra,1
211,surto,1
212,coautor,1
214,website,1
215,charity,1
216,egoista,1
217,sempre,1
219,visto,1
220,irmao,1
221,deuuus,1
223,brought,1
224,dondoca,1
226,subsubsubcelebridade,1
227,culpa,1
228,morrendo,1
229,batman,1
230,thrifting,1
231,remember,1
232,vitorvenancio,1
233,publicly,1
234,medio,1
235,querido,1
236,simpatico,1
