,title,titleUrl,time,channelName,category
0, What I Eat To Get Shredded (Grocery Haul For Fat Loss),https://www.youtube.com/watch?v=KTga7Hp0y70,2021-07-19 17:09:57.453000-03:00,Jeff Nippard,Entertainment
1, Why You Shouldn't Eat Clean: How To Lose Fat More Effectively,https://www.youtube.com/watch?v=ytN366VCGls,2021-07-19 17:08:46.319000-03:00,Jeff Nippard,Entertainment
2, How To Tell If You're Training Hard Enough (Using Science),https://www.youtube.com/watch?v=deDlhPmT2SY,2021-07-18 21:47:44.994000-03:00,Jeff Nippard,Entertainment
3, Refeeds & Diet Breaks: The Most Misunderstood Fat Loss Tools,https://www.youtube.com/watch?v=8HVdLMnr40M,2021-07-18 21:33:37.619000-03:00,Jeff Nippard,Entertainment
4, A LEI DO ESFORÇO MÍNIMO - PAULO MUZY,https://www.youtube.com/watch?v=Wg1zKREadoc,2021-07-18 21:24:59.901000-03:00,Cortes do Fisiculturismo,Sports
5, LEANDRO TWIN DÁ UMA AULA SOBRE CARGA X REPETIÇÃO,https://www.youtube.com/watch?v=04PgRxoWZng,2021-07-18 21:21:28.818000-03:00,Cortes do Fisiculturismo,Sports
6, o que eu como em um dia (novo plano alimentar) 3500kcal | vlog,https://www.youtube.com/watch?v=Z5AbI_J89G0,2021-07-18 21:20:58.984000-03:00,Gabi Sahade,People & Blogs
7, NHOQUE DE LEGUMES DIVERSOS - Gostoso Demais!,https://www.youtube.com/watch?v=nGxj5wXUlsk,2021-07-18 19:08:11.609000-03:00,Tá Querida,Comedy
8, MY FULL WEEK OF WORKOUTS | weight training & staying fit :),https://www.youtube.com/watch?v=-jcH40GN0sY,2021-07-18 16:52:46.340000-03:00,Adina May, Film & Animation
9, START Calisthenics With This 30 DAYS Workout!,https://www.youtube.com/watch?v=KzuUs3c-Ajg,2021-07-18 16:46:44.640000-03:00,Calisthenicmovement,Sports
10, PERDI MEU IPHONE NA RUA... MAS UMA COISA INCRÍVEL ACONTECEU!,https://www.youtube.com/watch?v=ylSZpiLbCBs,2021-07-17 20:22:20.769000-03:00,Zé Alvarenga,People & Blogs
11, The Day the Dinosaurs Died – Minute by Minute,https://www.youtube.com/watch?v=dFCbJmgeHmA,2021-07-17 12:59:20.255000-03:00,Kurzgesagt – In a Nutshell,Education
12, Can you cheat death by solving this riddle? - Shravan S K,https://www.youtube.com/watch?v=N3JL3z4e2Qs,2021-07-17 08:17:29.015000-03:00,TED-Ed,Education
13," VLOG DA SEMANA - Escape Room, Dagô, Triple O's, Kindle, Bridgerton, Crossfit e correria!",https://www.youtube.com/watch?v=QN2v_HdT96I,2021-07-17 07:39:05.200000-03:00,Tuca Loretti,Entertainment
14, Exercícios para perder barriga rápido,https://www.youtube.com/watch?v=cy4krtOXulg,2021-07-16 12:28:27.068000-03:00,Leandro Twin,Sports
