,titulo,canal,categoria
0,Interpol - C'mere,Interpol Rarities,10
1,Radiohead - Planet Telex (8-bit),quin kiu,10
2,,,
3,You Know I'm No Good - Arctic Monkeys,123adrianman123,10
4,,,
5,The Kooks - Always Where I Need to Be,CSY,10
6,Edward Sharpe & The Magnetic Zeros - Home (Official Video),Rough Trade Records,10
7,"Radiohead - There, There",Radiohead,10
8,Skrillex - First Of The Year (Equinox) [Official Music Video],Skrillex,10
9,Justice - Newlands,auto5manual,10
10,Russian Red - I Hate You But I Love You (Videoclip),RussianRedVEVO,10
11,,,
12,Placebo - Special Needs,PlaceboVEVO,10
13,"The Smiths ""How Soon Is Now?""",BVMemoTV,10
14,Arctic Monkeys - Suck It And See (Live at the Edge),102.1 the Edge,24
